PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Mean_Qualifier,IC50_Mean,IC50_Qualifier_1,IC50_1,Std.Err(IC50)_1,nH_1,Excluded_Points_first_point,% Activity at 100 uM_first_point,% Activity at 50 uM_first_point,% Activity at 25 uM_first_point,% Activity at 12.5 uM_first_point,% Activity at 6.25 uM_first_point,% Activity at 3.125 uM_first_point,IC50_Qualifier_2,IC50_2,Std.Err(IC50)_2,nH_2,Excluded_Points_second_point,% Activity at 100 uM_second_point,% Activity at 50 uM_second_point,% Activity at 25 uM_second_point,% Activity at 12.5 uM_second_point,% Activity at 6.25 uM_second_point,% Activity at 3.125 uM_second_point
71,14737810,9551167,CCC(=O)N1C(CC2=C1C=CC(=C2)S(=O)(=O)CCC(=O)NCC3=CC=CS3)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-11.6939,-19.2151,-17.9599,-18.0983,-18.8099,-23.2969,>,100,,,"0,0,0,0,0,0",9.36756,-10.106,3.53548,-1.34416,3.77017,-8.16976
72,14739806,1332299,CC1(CC2=C(C(=O)C1)C3=C(O2)C4=CC=CC=C4C(=C3)NS(=O)(=O)C5=CC=C(C=C5)OC)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-26.6276,-2.33448,-0.980471,24.1893,1.27291,6.44879,>,100,,,"0,0,0,0,0,0",9.30498,-4.87431,1.01254,-4.06266,-3.09456,4.85072
73,14725092,1721589,CCN\1C2=C(C=C/C1=C/3\C(=O)N(C(=S)O3)CC)C=C(C=C2)C,Inactive,41,,,>,100,>,100,,,"1,1,1,0,0,0",,,,32.1058,9.20425,7.53101,>,100,,,"1,0,0,0,0,0",,29.1002,36.4441,13.8472,15.1067,-6.06732
74,14724741,756154,C1=CC=C(C(=C1)C2=NN=C(O2)C3=CC=CC=C3Cl)Cl,Inactive,41,,,=,53.85,>,100,,,"0,0,0,0,0,0",43.8609,52.2074,54.3362,49.0536,44.5449,42.2322,=,7.704,3.99,0.275,"0,0,0,0,0,0",60.7885,63.2185,63.3525,61.8729,40.8739,42.6537
75,14725930,973018,CC1=NC(=CC=C1)NC2=NC(=CS2)C3=CC=CS3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",33.0358,33.8986,26.6028,-2.13681,-19.0273,0.946765,>,100,,,"0,0,0,0,0,0",31.9586,4.22195,26.59,5.10399,-4.28757,5.78362
76,14718749,757828,C1COCCN1CN2C3=C(C=C(C=C3)Cl)C4=C2C=CC(=C4)Cl,Inactive,41,,,=,74.5,>,100,,,"0,0,0,0,0,0",2.43914,64.4172,38.8758,31.7826,15.0709,18.9511,=,49.012,14,0.695,"0,0,0,0,0,0",55.9988,63.8082,33.0362,21.7241,20.1937,17.1407
77,14724398,691337,C1=COC(=C1)CNC(=O)C2=C(C3=C(S2)C=C(C=C3)F)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",20.6323,31.0325,38.9252,-19.8773,13.0874,8.4551,>,100,,,"0,0,0,0,0,0",7.89291,3.28123,6.032,4.11927,-6.09666,3.51592
78,14721268,1143679,CC1=CC=C(C=C1)CSC2=NC3=CC=CC=C3C(=O)N2CC4=CC=CO4,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",1.92522,-9.97425,8.76049,5.7362,5.31419,8.78717,>,100,,,"0,0,0,0,0,0",9.55042,6.11024,9.52108,-0.180473,3.96574,-8.14043
79,14745160,2630204,CC(C)CN1C(=C(C(=O)N(C1=O)C)C(=O)CSC2=NN=NN2C)N,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-4.59775,10.8696,7.13568,2.61705,-6.30755,5.81922,>,100,,,"0,0,0,0,0,0",4.40285,-7.86662,4.09874,4.5554,-2.78164,2.98787
80,14727086,1092711,CCN1C(=NN=C1SCC(=O)NC2CCCCC2)C3=CC4=C(O3)C(=CC=C4)OC,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-15.4891,2.0537,-4.66693,-2.82865,-0.318287,-2.63098,>,100,,,"0,0,0,0,0,0",4.36276,5.53524,2.5967,-4.03332,3.26167,2.65538
81,14741634,1900873,CCCCCOC1=CC=CC=C1C(=O)NCCC(=O)O,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-0.50607,1.60895,4.90403,5.90521,0.00786081,-0.26887,>,100,,,"0,0,0,0,0,0",4.88984,5.22428,-0.219585,1.37435,-1.66686,1.38413
82,14745054,1550522,C1CC2=CC=CC=C2C(=O)/C(=C/C3=CC=CC=C3)/C1,Active,52,,,=,17.9,=,20.709,1.59,1.707,"0,0,0,0,0,0",79.3154,81.0932,48.8299,53.2099,39.3367,11.0417,=,15.167,3.6,0.854,"0,0,0,0,0,0",90.2807,79.3775,60.8809,30.4938,11.4161,-4.57798
83,14742322,950756,C1=CC=C2C=C(C=CC2=C1)OC3=CS(=O)(=O)C4=CC=CC=C43,Inactive,41,,,>,100,>,100,,,"1,1,0,0,0,0",,,30.9771,12.6871,8.1329,5.52766,>,100,,,"0,0,0,0,0,0",37.9236,8.92654,14.2139,15.5253,19.8338,14.0545
84,14721888,9549408,CC1CCN(CC1)C(C)C(=O)NC2=CC=CC=C2C3=CC=CC=C3.C(=O)(C(=O)O)O,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",4.7884,-7.93829,-5.33899,-8.32375,-11.2788,0.205521,>,100,,,"0,0,0,0,0,0",4.32951,-5.98909,-0.356488,5.7846,-6.09666,3.91685
85,17408310,784576,C1=CC(=CN=C1)C2=NOC(=N2)CC3=CC=C(C=C3)Cl,Active,50,,,=,36.4,=,32.362,4.33,1.939,"0,0,0,0,0,0",87.546,74.2471,32.26,20.6866,-5.50701,12.7978,=,40.517,4.33,1.272,"0,0,0,0,0,0",80.8409,54.5838,31.6681,16.9422,12.4146,11.9452
86,17402241,1479597,C1=CC=C(C=C1)SCC2=CC(=NO2)C3=CC=C(C=C3)Cl,Active,61,,,=,19.97,<,3.13,,,"0,0,0,0,0,0",41.319,54.1998,60.6842,82.2584,63.3626,35.6835,=,36.815,19.8,0.412,"0,0,0,0,0,0",52.7972,47.898,65.3258,39.9038,29.0934,20.5271
87,17416368,2963649,CC(C)(C)CC(=O)NC(=S)N1CCCCCC1,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",16.0059,10.6887,20.1579,11.4754,12.1821,7.50729,>,100,,,"0,0,0,0,0,0",26.7161,22.4428,12.8097,15.7062,10.3171,10.4765
88,17413075,2220669,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=CC(=NC4=C3C=C(C=C4)Cl)C5=CN=CC=C5,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-3.22398,-16.0821,-13.5816,-18.0094,-34.5144,6.8036,>,100,,,"0,0,0,0,0,0",-10.9469,4.3344,1.13967,-5.83263,-0.503174,6.07307
89,17401154,6401469,C1=CC(=C(C=C1NC2=NN=C(C=C2)N3C=CN=C3)Cl)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",14.5728,12.4292,14.8792,16.7916,1.41129,5.59488,>,100,,,"0,0,0,0,0,0",11.8817,12.9192,17.5612,4.77543,1.31568,0.0248812
90,17409346,1471178,CC1=CC=C(C=C1)C2=CC=NC3=NC(=NN23)SC4=C(C=C(C=N4)C(F)(F)F)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",15.2419,-2.37401,15.7351,24.2456,7.37584,17.4924,>,100,,,"0,0,0,0,0,0",5.90683,8.35936,2.12733,-2.64473,5.73766,16.0113
91,17410137,3693151,C1=CC=C(C=C1)C2=NC=CC(=N2)C3=CC=C(C=C3)OCCCF,Inactive,41,,,=,52.26,=,4.512,2.45,0.496,"1,1,1,0,0,0",,,,58.8992,40.5453,15.6671,>,100,,,"0,0,0,0,0,0",73.9773,70.4707,76.1753,74.3943,58.1897,34.1239
92,17411688,497456,C1=CC=C2C(=C1)N=C(O2)SCC3=CC=C(C=C3)[N+](=O)[O-],Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",25.063,41.4702,44.0863,37.1779,6.61186,9.06489,>,100,,,"0,0,0,0,0,0",35.1905,35.7009,41.9877,60.3328,31.1538,16.1472
93,17387713,3610662,C1CN(C(C2=C1C3=CC=CC=C3N2)C4=CC=C(C=C4)Cl)C(=O)C5=CC=CS5,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",12.8551,8.23568,18.5252,-6.10989,-0.357827,5.79551,>,100,,,"0,0,0,0,0,0",0.846298,4.22586,11.8191,6.00658,1.87308,6.84755
94,14745838,4961635,CCOC(=O)C1=C(SC2=C1CCSC2)N,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-12.1189,24.0509,0.65027,-9.13417,11.1246,-4.22219,>,100,,,"0,0,0,0,0,0",10.1929,9.79196,-15.7092,2.74339,-8.14043,1.4917
95,16953889,7440039,C1C[C@H](N(C1)C(=O)C2=CC=CS2)C(=O)OCC(=O)NCCC3=CC=CC=C3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-4.00475,10.072,-2.40366,8.29004,-6.80172,-0.34794,>,100,,,"0,0,0,0,0,0",-2.34159,-11.2403,16.8493,3.30078,2.40113,-0.121804
96,14729442,3812356,C1CN(CCN1C2=CC=CC=C2)C3=NC4=CC=CC=C4N=C3,Inactive,41,,,=,76.25,>,100,,,"0,0,0,0,0,0",18.6378,57.2508,41.489,13.7268,5.8637,-1.66242,=,52.518,8.21,1.662,"0,0,0,0,0,0",76.8316,46.0665,22.698,2.49892,20.3042,-1.79398
97,17385715,11948731,CN1CCC(CC1)N(C)CC(=O)NC2=CC=CC=C2N3CCOCC3.C(=O)(C(=O)O)O,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",9.62034,5.47924,6.35786,1.49035,-5.47736,-14.2537,>,100,,,"0,0,0,0,0,0",11.4954,3.64304,2.94874,-1.97,3.05632,6.1738
98,17387033,11948820,CCOC1=C(C(=CC(=C1)CNC2CCCC2)Cl)OCC3=CC=C(C=C3)F.Cl,Active,75,,,<,3.13,<,3.13,,,"0,0,0,0,0,0",89.1906,86.4598,82.9236,83.7241,57.657,54.5319,<,3.13,,,"0,0,0,0,0,0",89.3582,85.5083,83.3188,81.5704,71.5745,62.534
99,17387184,4308227,CC1=NN(C=C1CN(C2CC(=O)N(C2=O)C3=C(C=CC=C3Cl)Cl)C(=S)NC4=CC=CC=C4OC)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-8.2842,1.62871,9.2507,-12.8305,-11.5556,-18.0489,>,100,,,"0,0,0,0,0,0",0.670283,16.2822,14.9464,7.84499,2.35224,4.29822
100,14725316,3142259,CC1=CC=CC=C1NC(=O)CSC2=C(C(CC(=O)N2)C3=CSC=C3)C#N,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",20.1668,12.361,4.21813,-5.81339,-1.58335,-6.8709,>,100,,,"0,0,0,0,0,0",8.41021,6.01441,-11.6901,-5.05032,-5.16767,-7.6906
101,17411433,1484772,C1=CC=C(C=C1)C2=CC(=NO2)CSC3=CC=C(C=C3)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",20.2706,39.0577,38.3817,47.9141,48.2639,29.0528,>,100,,,"0,0,0,0,0,0",29.6527,30.7108,38.5788,28.5448,29.7926,30.0644
102,17412683,2789059,CC(C)CC(C(=O)OC1=CC2=C(C=C1)C3=C(CCC3)C(=O)O2)N4C(=O)C5=CC=CC=C5C4=O,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",5.47529,-2.64086,6.94197,1.48047,-2.43331,15.1233,>,100,,,"0,0,0,0,0,0",3.69194,-5.06011,5.08444,11.8074,4.55736,-5.20678
103,17402748,5122527,C1CC1C(=O)NC2=CC=C(C=C2)C#CC3=CC=CC=C3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-10.4289,16.7719,31.244,24.8603,36.6056,16.9606,>,100,,,"0,0,0,0,0,0",21.196,5.22526,9.95624,0.640944,14.5552,10.2936
104,17410985,9581692,CCSC1=NC=C(N1C)/C=N/NC2=CC=CC=C2,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",3.38794,4.72515,-5.27969,-2.39378,1.10491,4.75579,>,100,,,"0,0,0,0,0,0",5.85989,8.56765,14.0418,3.27144,-4.06266,-0.180473
105,17414947,2950356,COC1=C(C(=CC(=C1)CNC2CCCC2)Cl)OCC3=CC=C(C=C3)F.Cl,Active,57,,,=,3.33,=,3.271,0.42,0.862,"0,0,0,0,0,0",91.015,88.0392,87.12,78.3565,65.4658,46.4553,=,3.39,0.366,0.737,"0,0,0,0,0,0",89.2526,87.3115,83.8146,71.5256,63.4141,46.5691
106,47199185,755757,COC1=CC=CC=C1C(=O)NC2=CC3=CC=CC=C3C=C2,Active,51,,,=,42.7,=,38.107,2.72,1.513,"0,0,0,0,0,0",82.2407,62.5087,28.9856,17.0476,11.3766,3.96117,=,47.253,5.58,1.035,"0,0,0,0,0,0",70.7736,53.0123,28.5565,17.1339,17.9768,8.76714
107,17515730,6624186,C1=CC=C(C=C1)CSC2=NN=C(C=C2)C3=CC=CO3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",17.3836,14.0648,15.2617,14.1222,3.18039,11.508,>,100,,,"0,0,0,0,0,0",16.333,17.5642,25.4899,12.5701,5.11671,15.7267
108,22414250,900895,C1=CC=C(C=C1)C2=NN3C(=CC=NC3=C2)C4=CC=CC=N4,Active,50,,,=,47,=,40.308,7.74,0.605,"0,0,0,0,0,0",62.2923,48.765,50.9957,31.3932,27.0021,12.4756,=,53.755,11.1,0.779,"0,0,0,0,0,0",59.1808,51.5797,38.3167,16.465,24.293,4.80281
109,17516824,6224185,C1=CC=C2C(=C1)C=CC(=N2)/C=C/C3=C(C=CC=C3F)F,Active,49,,,=,36.8,=,45.272,14.5,0.58,"0,0,0,0,0,0",59.3617,72.6062,37.5217,41.1526,32.0925,22.0037,=,28.377,9.84,0.542,"0,0,0,0,0,0",55.3503,49.6585,55.4985,32.1137,16.6256,16.2876
110,17432304,2210533,C1=CSC(=C1)C(=O)/C=C/NC2=CC(=C(C=C2)F)F,Active,54,,,=,18.2,=,11.372,1.63,0.884,"0,0,0,0,0,0",85.9202,81.0695,72.3989,42.331,38.1435,27.9123,=,24.995,3.88,1.05,"0,0,0,0,0,0",73.2741,70.8333,50.2293,41.3609,12.2611,4.48793
111,17516330,6706,CNC1=CC=CC2=C1C(=O)C3=CC=CC=C3C2=O,Inactive,41,,,>,100,>,100,,,"1,1,1,1,0,0",,,,,18.9323,8.58654,>,100,,,"1,0,0,0,0,0",,38.5632,33.5691,37.6626,18.2966,12.1085
112,17509379,717872,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC=C(O3)Br)[N+](=O)[O-],Inactive,41,,,=,69.1,=,69.094,63.5,0.517,"0,0,0,0,0,0",47.0121,8.43368,28.404,29.2137,19.4466,26.7865,>,100,,,"0,0,0,0,0,0",42.6759,45.1527,46.6895,50.9423,22.3678,-8.54117
113,17506730,2969441,C1C(C1(Cl)Cl)C2=CC=C(C=C2)NC(=O)C3=CC=CC=C3Br,Inactive,41,,,=,70,>,100,,,"0,0,0,0,0,0",41.9297,65.5864,55.2811,48.3984,40.1547,35.4908,=,39.988,11.5,0.58,"0,0,0,0,0,0",52.9224,58.1071,51.6159,36.8529,21.8258,12.3687
114,17510021,5781332,COC1=CC2=C(C=C1)C(=O)/C(=C\C3=CC=CO3)/CC2,Active,46,,,=,28.9,=,31.65,3.54,5.506,"0,0,0,0,0,0",92.1726,84.6898,42.6928,15.407,12.6611,22.9464,=,26.173,4.7,1.914,"0,0,0,0,0,0",94.6788,94.3615,20.1104,18.4748,5.70755,-0.00202647
115,17433200,754124,C1=CC=C2C(=C1)N=CC(=N2)C3=CC=C(C=C3)Cl,Inactive,41,,,=,92,>,100,,,"0,0,0,0,0,0",28.5438,42.3231,44.1387,42.5603,29.8998,34.3265,=,91.964,35.3,0.389,"0,0,0,0,0,0",47.0786,47.3934,43.2306,24.7682,27.7684,20.5447
116,17510256,12005141,COC1=CC=C(C=C1)C(=O)/C=C/C2=CC(=C(C=C2)OC)CN3CCOCC3,Active,56,,,=,6.86,=,4.659,0.654,0.714,"0,0,0,0,0,0",90.0573,88.9425,77.2279,62.1766,53.2678,46.4889,=,9.054,0.635,1.079,"0,0,0,0,0,0",88.6053,88.8243,77.4486,57.5214,37.5364,26.3397
117,17512904,6184171,CC1CCCCN1CC2=C(C=CC3=C2OC(=C(C3=O)C4=NC5=CC=CC=C5S4)N)O,Active,58,,,=,4.74,=,5.157,0.72,1.085,"0,0,0,0,0,0",86.5781,86.0706,80.8976,77.0545,63.3261,36.2612,=,4.328,0.906,0.858,"0,0,0,0,0,0",87.9888,89.0661,84.7678,79.5475,53.1127,34.9512
118,22403199,701039,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)/C=C/C3=CC=CO3,Inactive,41,,,=,68.6,=,44.088,6.68,1.299,"0,0,0,0,0,0",64.9884,61.2259,38.518,9.08071,3.55596,-0.189809,=,93.164,18.4,1.247,"0,0,0,0,0,0",53.9765,25.7011,25.8184,-0.39561,3.7506,5.12453
119,22416051,2244116,C1=CC=C(C=C1)C(=O)/C=C/NC2=C(C=C(C=C2)Br)F,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",11.6879,26.5613,5.4575,22.6613,38.0258,14.386,>,100,,,"0,0,0,0,0,0",26.2976,33.353,24.335,17.5954,19.2569,23.7669
120,22415777,1209837,CN(C)C1=CC=C(C=C1)/C=C/C=C/2\C(=O)N(C(=O)S2)CC#C,Inactive,41,,,>,100,>,100,,,"1,1,1,1,1,0",,,,,,30.9247,>,100,,,"1,1,1,1,0,0",,,,,33.4616,30.4438
121,22408754,4830886,CC1CCN(CC1)CC(=O)NC2=CC=CC(=C2)C(=O)NC3=CC=CC(=C3)C(F)(F)F,Active,50,,,=,43.2,=,35.576,10,0.744,"0,0,0,0,0,0",59.1533,57.9496,56.5738,33.0773,9.38313,14.6183,=,50.836,16.3,0.572,"0,0,0,0,0,0",50.3017,57.0168,41.6885,37.95,21.373,8.58721
122,17504304,6053780,C1=COC(=C1)C2=CSC(=N2)/C(=C/C3=CC=C(C=C3)F)/C#N,Inactive,41,,,>,100,>,100,,,"1,1,0,0,1,0",,,25.147,13.4669,,26.9319,>,100,,,"1,0,0,0,0,0",,39.3474,27.6598,25.0009,38.3705,35.4701
123,22416206,887761,CCOC(=O)NC1=NC(=CS1)C2=C(C=C(C=C2)F)F,Inactive,41,,,=,64.9,>,100,,,"0,0,0,0,0,0",44.8542,62.0521,50.8148,52.1866,40.6647,31.918,=,29.756,16.4,0.268,"0,0,0,0,0,0",53.3077,51.0409,51.6189,56.4046,40.072,26.4531
124,22413165,7285238,C1=CC(=CN=C1)C(=O)/C=C\NC2=CC=C(C=C2)Br,Inactive,41,,,=,71.4,=,80.605,22.8,0.844,"0,0,0,0,0,0",46.9045,68.6135,24.1688,10.5889,7.68169,13.5646,=,62.181,26.8,0.903,"0,0,0,0,0,0",52.151,42.586,23.0596,29.4146,4.44545,-1.1386
125,22404057,1988317,C=CCNC1=NC(=CS1)C2=CC=C(C=C2)[N+](=O)[O-],Active,53,,,=,23.7,=,21.753,3.61,0.888,"0,0,0,0,0,0",73.7163,69.2501,59.0397,32.7136,32.0109,7.41834,=,25.662,5.12,0.757,"0,0,0,0,0,0",63.0523,69.5591,56.2707,35.3274,20.9144,16.0807
126,17515185,3345963,CCC1=CC=CC(=C1NC(=S)NCC2=CC3=C(C=C2)N(C(=C3)C)C)C,Inactive,41,,,>,100,>,100,,,"1,1,0,0,0,0",,,-8.45222,-11.3381,-12.5439,-13.4828,>,100,,,"1,0,0,0,0,0",,37.3741,17.4175,-1.07035,10.0951,-0.180473
127,17515186,4300919,CC1=CC2=C(N1C)C=CC(=C2)CNC(=S)NC3=CC=C(C=C3)OC(F)(F)F,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",35.135,6.88464,12.5754,2.32055,5.77079,2.30077,>,100,,,"0,0,0,0,0,0",38.0889,20.9613,18.3171,6.01831,30.7538,10.5019
128,17515183,4102692,CC1=CC2=C(N1C)C=CC(=C2)CNC(=O)C3=CC(=CC=C3)[N+](=O)[O-],Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",8.20604,3.96117,7.63478,4.5344,-7.88887,-4.36055,>,100,,,"0,0,0,0,0,0",12.5672,3.55503,-1.96022,5.05999,-1.49083,4.44099
129,24782826,6256902,CC(=O)N\1C2=CC=CC=C2C(=O)/C1=C\C3=CC=C(C=C3)N(C)C,Inactive,41,,,=,76.95,>,100,,,"1,0,0,0,0,0",,42.4674,24.0964,15.4258,-11.6939,5.15211,=,53.854,10.4,0.986,"0,0,0,0,0,0",61.7028,56.9513,26.1226,12.0108,18.6819,7.89878
130,24815791,7207490,C1=CC(=CN=C1)C2=NN=C(C=C2)SCC3=CC=C(C=C3)Cl,Inactive,41,,,=,83.9,=,83.932,37.4,1.114,"0,0,0,0,0,0",41.4362,44.3552,14.7801,-0.268481,11.5375,7.56728,>,100,,,"0,0,0,0,0,0",39.7623,57.5908,24.3029,-3.92568,0.0869213,-5.59596
131,24782673,6462602,CC1=C(C=CO1)C2=NC(=NO2)C3=CC(=CC=C3)OC,Inactive,41,,,=,86.4,>,100,,,"0,0,0,0,0,0",1.2828,24.4235,8.17046,6.99928,2.91354,-5.16109,=,86.411,30.3,0.85,"0,0,0,0,0,0",58.2616,36.2339,21.8727,5.49417,21.0806,14.8955
132,24827549,2409129,CC(=O)NC1=CC(=CC=C1)OCC(=O)/C=C\2/C(C3=CC=CC=C3N2C)(C)C,Inactive,41,,,>,100,>,100,,,"1,0,0,1,0,0",,33.271,14.3386,,0.294469,15.3586,>,100,,,"1,1,1,0,0,0",,,,18.1607,7.42842,5.49612
133,24810555,16193138,CCN1CCN(CC1)C2=NC3=C(C=C(C=C3)NC(=S)N4CCCCC4)C(=C2)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",37.759,38.8106,20.5799,-2.63098,8.89787,-7.08833,>,100,,,"0,0,0,0,0,0",48.874,21.3622,13.1852,-1.80376,-2.43938,4.3745
134,24824663,689669,C1=CC=C(C=C1)C(=O)NC2=NC3=CC=CC=C3S2,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",28.9056,66.2139,32.7215,14.1103,12.4351,0.976418,>,100,,,"0,0,0,0,0,0",33.0792,75.8126,17.3275,25.5799,17.1173,13.1686
135,24821105,1480808,C1=CC=C(C=C1)C2=NOC(=C2)COC3=CC=CC=C3,Inactive,41,,,=,68.7,=,94.094,58,0.978,"0,0,0,0,0,0",54.3716,77.611,34.0747,5.11182,9.85552,16.5657,=,43.242,16.3,1.084,"0,0,0,0,0,0",33.1919,60.4678,25.3061,5.76981,-7.55285,-5.72444
136,24803358,3092936,C1=CC=C(C=C1)C2=NC3=C(O2)C=C(C=C3)[N+](=O)[O-],Inactive,41,,,=,63.6,=,27.22,11,0.672,"0,0,0,0,0,0",49.1047,53.2989,57.1067,16.1316,61.2011,18.5108,>,100,,,"1,0,0,0,0,0",,58.1106,53.508,27.3193,41.3348,10.7075
137,24837033,2104886,CCN1C2=C(C=C(C=C2)C(=O)O)N=C1CSC3=NN=C(N3CCOC)C4=CC=NC=C4,Inactive,41,,,>,100,>,100,,,"1,1,1,1,0,0",,,,,8.66067,-4.58786,>,100,,,"1,1,1,0,0,0",,,,35.0624,14.3049,6.2706
138,24836193,4255303,CCCN1C(=O)NN=C1SCC(=O)C2=CC3=C(C=C2)OCCO3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",0.442722,-8.2842,-12.8898,2.27113,1.20373,0.719452,>,100,,,"0,0,0,0,0,0",-6.10643,-0.669415,-2.19491,4.0958,-12.8343,1.71662
139,24839566,779814,C1CN(C2=CC=CC=C21)C(=O)/C=C/C3=CC=CO3,Active,46,,,=,48.6,=,48.591,4.38,2.665,"0,0,0,0,0,0",92.1131,47.0117,20.8764,-0.555488,-4.37043,-9.36148,=,48.686,4.1,1.811,"0,0,0,0,0,0",83.8009,45.2646,24.5443,13.6067,0.6605,-3.48571
140,24835192,2474590,C1=CC=NC(=C1)C(=O)NC2=NC3=C(C=C(C=C3S2)F)F,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",22.7176,20.8882,30.6559,10.6877,18.6764,35.6549,>,100,,,"0,0,0,0,0,0",30.6511,28.1849,35.9503,19.4133,13.4619,30.2199
141,24831418,2532639,C1=COC(=C1)C(=O)NC2=NC(=CS2)C3=CC=C(S3)Cl,Active,53,,,=,13.7,=,12.248,0.951,1.378,"0,0,0,0,0,0",95.676,86.2632,68.5039,55.7308,29.8188,7.72867,=,15.129,1.15,1.453,"0,0,0,0,0,0",95.0035,88.6434,62.4841,46.7177,17.9944,12.971
142,24839183,2092860,C1=CC=NC(=C1)C(=O)NC2=NC(=CS2)C3=C(C=CC(=C3)F)F,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,1",21.7817,32.7284,13.7021,10.2509,-5.36865,,>,100,,,"0,0,0,0,0,0",30.2375,26.6761,23.0892,35.2335,17.4136,14.6286
143,24816849,326670,CC1=C(C2=CC=CC=C2N1)SCC3=CC=CC=C3,Active,52,,,=,42.6,=,48.341,12.8,0.807,"0,0,0,0,0,0",74.9716,65.892,28.7609,19.4544,22.1749,14.7576,=,36.836,7.52,1.028,"0,0,0,0,0,0",65.6872,58.9033,24.5619,20.5038,20.4109,18.967
144,24821969,1480671,C1=CC=C(C=C1)SCC2=CN=C(S2)Cl,Inactive,41,,,=,84.8,=,96.29,15.8,0.862,"0,0,0,0,0,0",63.2381,34.5441,27.8691,12.443,12.7246,15.5263,=,73.276,16.8,0.893,"0,0,0,0,0,0",46.2102,42.4605,25.0442,12.7563,6.44582,3.00249
145,24820420,1479588,C1=CC=C(C=C1)C2=NOC(=C2)CSC3=CC=CC=C3,Active,54,,,=,17.6,=,23.709,9.73,0.744,"0,0,0,0,0,0",95.7595,75.5867,63.0278,58.1169,29.4523,27.1044,=,11.564,1.8,0.936,"0,0,0,0,0,0",91.1574,40.8722,51.565,50.7832,20.998,19.3623
146,24795577,1249045,C1=CC(=CC=C1C2=CC=C(O2)C(=O)NC3=NC=CS3)F,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",36.7489,38.7582,43.0219,40.0371,11.2649,-27.0526,>,100,,,"0,0,0,0,0,0",27.4769,29.4229,49.625,48.1288,49.2201,17.1798
147,24819488,1484584,C1=CC(=CC=C1[N+](=O)[O-])OCC2=CN=C(S2)Cl,Inactive,41,,,=,50.3,=,76.791,42.1,0.882,"0,0,0,0,0,0",57.5908,62.489,69.2432,43.4408,21.1501,13.7191,=,23.889,8.91,0.663,"0,0,0,0,0,0",47.6719,36.9456,53.6454,13.0597,-2.47284,-8.15573
148,24796742,2210642,C1=CSC(=C1)C(=O)/C=C/NC2=C(C=C(C=C2)Br)F,Inactive,41,,,=,67.75,=,35.485,19.6,0.418,"0,0,0,0,0,0",39.9156,41.9261,51.8056,53.8895,29.3046,16.3134,>,100,,,"0,0,0,0,0,0",55.3364,45.8633,61.0499,50.5391,22.0416,22.3609
