PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_2.35uM_(%)_TEST1,Activity_at_4.6uM_(%)_TEST1,Activity_at_6uM_(%)_TEST1,Activity_at_9uM_(%)_TEST1,Activity_at_12uM_(%)_TEST1,Activity_at_18uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,Activity_at_23.5uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_2.35uM_(%)_TEST2,Activity_at_4.6uM_(%)_TEST2,Activity_at_6uM_(%)_TEST2,Activity_at_9uM_(%)_TEST2,Activity_at_12uM_(%)_TEST2,Activity_at_18uM_(%)_TEST2,Activity_at_19.5uM_(%)_TEST2,Activity_at_23.5uM_(%)_TEST2,ACTIVITY_OUTCOME_TEST3,ACTIVITY_SCORE_TEST3,ASSAYDATA_COMMENT_TEST3,AC50_Qualifier_TEST3,AC50_uM_TEST3,pAC50_M_TEST3,Hill_Slope_TEST3,S0_(%)_TEST3,Sinf_(%)_TEST3,Num_Points_TEST3,Max_Activity_(%)_TEST3,Max_Activity_Conc_uM_TEST3,Max_Concentration_uM_TEST3,Activity_at_0.15uM_(%)_TEST3,Activity_at_0.285uM_(%)_TEST3,Activity_at_0.3uM_(%)_TEST3,Activity_at_0.6uM_(%)_TEST3,Activity_at_1.2uM_(%)_TEST3,Activity_at_2.35uM_(%)_TEST3,Activity_at_4.6uM_(%)_TEST3,Activity_at_9uM_(%)_TEST3,Activity_at_18uM_(%)_TEST3,Activity_at_19.5uM_(%)_TEST3,ACTIVITY_OUTCOME_TEST4,ACTIVITY_SCORE_TEST4,ASSAYDATA_COMMENT_TEST4,AC50_Qualifier_TEST4,AC50_uM_TEST4,pAC50_M_TEST4,Hill_Slope_TEST4,S0_(%)_TEST4,Sinf_(%)_TEST4,Num_Points_TEST4,Max_Activity_(%)_TEST4,Max_Activity_Conc_uM_TEST4,Max_Concentration_uM_TEST4,Activity_at_0.15uM_(%)_TEST4,Activity_at_0.285uM_(%)_TEST4,Activity_at_0.3uM_(%)_TEST4,Activity_at_0.6uM_(%)_TEST4,Activity_at_1.2uM_(%)_TEST4,Activity_at_2.35uM_(%)_TEST4,Activity_at_4.6uM_(%)_TEST4,Activity_at_9uM_(%)_TEST4,Activity_at_18uM_(%)_TEST4,Activity_at_19.5uM_(%)_TEST4,ACTIVITY_OUTCOME_TEST5,ACTIVITY_SCORE_TEST5,ASSAYDATA_COMMENT_TEST5,AC50_Qualifier_TEST5,AC50_uM_TEST5,pAC50_M_TEST5,Hill_Slope_TEST5,S0_(%)_TEST5,Sinf_(%)_TEST5,Num_Points_TEST5,Max_Activity_(%)_TEST5,Max_Activity_Conc_uM_TEST5,Max_Concentration_uM_TEST5,Activity_at_0.15uM_(%)_TEST5,Activity_at_0.285uM_(%)_TEST5,Activity_at_0.3uM_(%)_TEST5,Activity_at_0.6uM_(%)_TEST5,Activity_at_1.2uM_(%)_TEST5,Activity_at_2.35uM_(%)_TEST5,Activity_at_4.6uM_(%)_TEST5,Activity_at_9uM_(%)_TEST5,Activity_at_18uM_(%)_TEST5,Activity_at_19.5uM_(%)_TEST5,ACTIVITY_OUTCOME_TEST6,ACTIVITY_SCORE_TEST6,ASSAYDATA_COMMENT_TEST6,AC50_Qualifier_TEST6,AC50_uM_TEST6,pAC50_M_TEST6,Hill_Slope_TEST6,S0_(%)_TEST6,Sinf_(%)_TEST6,Num_Points_TEST6,Max_Activity_(%)_TEST6,Max_Activity_Conc_uM_TEST6,Max_Concentration_uM_TEST6,Activity_at_0.15uM_(%)_TEST6,Activity_at_0.285uM_(%)_TEST6,Activity_at_0.3uM_(%)_TEST6,Activity_at_0.6uM_(%)_TEST6,Activity_at_1.2uM_(%)_TEST6,Activity_at_2.35uM_(%)_TEST6,Activity_at_4.6uM_(%)_TEST6,Activity_at_9uM_(%)_TEST6,Activity_at_18uM_(%)_TEST6,Activity_at_19.5uM_(%)_TEST6
249,103159734,49792829,CN1C=CC2=C1C=CC(=C2)C3=CC4=C(S3)C(=O)N(C(=N4)NCCCN(C)C)C,Active,54,,,=,4.02,5.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.98,5.303,0.94,6.986,-100,8,-78.437,18,18,5.407,-5.236,,-2.721,-12.609,-31.186,-47.637,-54.839,-78.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.05,5.516,0.93,15.605,-100,8,-85.39,18,18,9.975,5.106,,-11.108,-13.319,-34.443,-59.384,-61.487,-85.39,
250,49668454,4412491,CC1=CC(=NC2=C1C=C(C=C2)NC(=S)NC(C)C)N3CCOCC3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,7.48905,7.48905,7,13.068,0.3,18,-5.025,,13.068,12.906,7.189,10.277,,11.063,2.946,,1,0,,>,36,4.444,1.2,15,-100,8,-9.245,18,18,16.215,,14.857,21.544,19.3,23.875,22.573,0.65,-9.245,,1,0,,>,36,4.444,1.2,13.655,-100,8,-8.914,18,18,7.787,,20.709,7.522,13.548,11.313,11.764,7.323,-8.914,,,,,,,,,,,,,,,,,,,,,,,,
251,103060451,49786602,CC1=C(C=C(C=C1)F)C2=CC3=C(S2)C(=O)N(C(=N3)NCCCN(C)C)C,Active,47,,,=,19.2,4.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,23.09,4.637,1.2,-5.189,-100,8,-44.984,18,18,-9.096,-5.7,,-10.416,-4.495,-4.243,-16.218,-31.58,-44.984,,2,50,,=,10.21,4.991,1.169,9.083,-100,8,-65.967,18,18,11.558,8.627,,3.68,-2.114,-11.774,-16.814,-39.566,-65.967,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,24.31,4.614,1.2,-5.357,-100,8,-50.374,18,18,-14.497,-7.39,,-4.924,-7.55,-5.324,-11.499,-22.546,-50.374,
252,47195903,6446975,CN(C)CC/C=C/1\C2=C(C=C(C=C2)F)SC3=CC(=C(C=C31)Cl)F.Cl,Active,50,,,=,9.75,5.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,15.33,4.814,1.106,0.548,-100,8,-53.434,18,18,-8.563,,5.122,0.108,-2.545,-11.255,-22.973,-35.041,-53.434,,2,52,,=,6.62,5.179,1.2,-1.269,-100,8,-80.644,18,18,-1.79,,-12.567,1.507,-14.362,-20.044,-37.08,-61.304,-80.644,,2,51,,=,7.3,5.137,1.2,3.519,-100,8,-72.436,18,18,1.786,,-0.074,-1.914,-5.652,-12.498,-35.331,-58.339,-72.436,,,,,,,,,,,,,,,,,,,,,,,,
253,103073543,49789228,CN1C=C(C=N1)C2=CC3=C(S2)C(=O)N(C(=N3)NCCCN(C)C)C,Active,50,,,=,10.19,4.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,18.84,4.725,0.8,7.233,-100,7,-45.692,18,18,9.038,8.957,,-8.5,-7.317,,-13.301,-32.917,-45.692,,2,53,,=,4.92,5.308,1.046,13.168,-100,7,-76.808,18,18,10.297,7.722,,1.54,-7.12,-23.057,,-60.578,-76.808,,2,52,,=,6.82,5.166,1.2,9.909,-100,8,-69.732,18,18,10.912,4.959,,-0.119,1.949,-8.288,-36.056,-58.158,-69.732,,,,,,,,,,,,,,,,,,,,,,,,
254,47195902,21151824,CN1CCN(CC1)C2CC3=C(C=C(C=C3)Cl)SC4=C2C=C(C=C4)F.CS(=O)(=O)O,Active,49,,,=,14.11,4.850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,16.68,4.778,1.2,3.686,-100,8,-58.278,18,18,-3.145,1.686,,1.601,-1.724,3.399,-7.394,-27.956,-58.278,,2,52,,=,6.89,5.162,0.8,-10,-100,8,-75.393,18,18,-26.984,-30.728,,-28.631,-29.736,-27.813,-41.527,-62.359,-75.393,,2,50,,=,9.25,5.034,1.2,15,-100,8,-62.023,18,18,13.095,21.716,,13.604,1.648,4.192,-11.212,-53.603,-62.023,,2,46,,=,23.62,4.627,1.2,0.094,-100,8,-39.381,18,18,-6.027,0.385,,1.433,-4.25,0.385,-9.69,-30.204,-39.381,
255,89856150,8816,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],Active,54,,,=,3.79,5.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,5.77,5.239,1.2,9.01,-100,8,-73.397,18,18,0.412,6.444,,8.925,-3.824,-12.013,-50.092,-57.571,-73.397,,2,56,,=,2.27,5.644,0.8,-10,-100,8,-85.972,18,18,-31.576,-27.538,,-35.812,-48.998,-52.121,-57.385,-78.919,-85.972,,2,56,,=,2.74,5.562,0.902,13.43,-100,7,-84.957,18,18,10.49,-3.667,,-12.164,,-38.972,-49.996,-74.79,-84.957,,2,54,,=,4.37,5.360,0.818,10.142,-100,8,-72.847,18,18,5.927,-1.131,,-13.982,-14.331,-28.472,-48.486,-61.556,-72.847,
256,24827529,2594907,C1CC2=C(C1)SC3=NC(=NC(=C23)NCCCN4CCOCC4)C5=CN=CC=C5,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.81201,4.81201,8,17.123,2.35,18,0.461,1.59,,0.843,0.973,17.123,10.523,3.318,3.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,24833324,4966559,CN(CC(=O)NC1=CC=C(C=C1)S(=O)(=O)N2CCCC2)CC(=O)NC3=CC(=CC=C3)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,9.28954,9.28954,8,16.846,0.285,18,11.339,16.846,,8.532,9.081,1.803,6.781,6.582,13.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,11.4699,11.4699,8,23.724,0.15,18,23.724,7.77,,11.877,10.64,7.73,11.012,10.59,8.416,
258,47196215,23723196,C1CN(CCN1CCCl)C2=C3C=CC(=CC3=NC=C2)Cl.Cl,Active,48,,,=,17.22,4.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,17.22,4.764,1.2,1.634,-100,8,-52.425,18,18,4.808,,-5.253,-3.179,1.094,-5.508,-10.905,-31.682,-52.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,26666219,16682491,COC1=C(C=C(C=C1)CCNC2=C3C=CC=CC3=NC4=CC=CC=C42)OC.Cl,Active,52,,,=,6.38,5.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.47,5.072,1.2,4.167,-100,8,-69.589,18,18,-0.715,7.647,,-3.418,-4.378,-10.535,-26.051,-55.257,-69.589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,4.3,5.367,1.05,1.259,-100,8,-88.794,18,18,1.851,-7.941,,-7.624,-22.18,-39.394,-43.315,-65.279,-88.793,
260,26666511,1596493,CCCNC1=NC(=NC(=N1)Cl)NCC2=CN=CC=C2,Active,54,,,=,4.26,5.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,5.73,5.242,1.2,-1.155,-100,8,-97.876,18,18,-2.919,-6.046,,-6.91,-20.354,-17.746,-31.954,-67.947,-97.876,,2,53,,=,5.16,5.287,1.2,1.628,-100,8,-84.409,18,18,2.462,-12.97,,0.91,-11.261,-19.757,-40.753,-77.269,-84.409,,2,56,,=,2.55,5.593,1.11,-15,-100,8,-99.734,18,18,-27.148,-29.469,,-33.693,-36.096,-54,-62.772,-91.245,-99.734,,2,54,,=,3.6,5.444,1.162,20,-100,8,-97.516,18,18,29.341,6.951,,2.241,-12.491,-23.478,-38.023,-68.345,-97.516,
261,124755741,53301566,C[C@@H](C1=CC=CC=C1)N2C[C@@H](OC3=C(S2(=O)=O)C=CC(=C3)N4CC[C@@H](C4)N(C)C)COCC5=CC=CC=C5,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,0.194997,0.194997,8,12.466,18,18,-3.231,-1.098,,2.498,-4.242,-3.83,-0.853,-0.149,12.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,13.3261,13.3261,8,30.864,18,18,7.229,6.874,,13.183,7.555,7.565,14.05,19.289,30.864,
262,24809569,3221629,COC1=CC2=CC(=C(N=C2C=C1)NCCNC(=S)NCCCN3CCOCC3)C#N,Active,50,,,=,9.87,5.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.68,5.014,0.895,4.828,-100,8,-64.991,18,18,6.877,-0.528,,-6.292,-13.496,-14.822,-30.658,-42.686,-64.991,,2,48,,=,15.34,4.814,1.026,15,-100,8,-43.937,18,18,27.137,19.092,,20.687,2.234,-0.566,-11.901,-29.911,-43.937,,2,49,,=,11.96,4.922,0.907,-9.358,-100,8,-63.905,18,18,-14.08,-7.228,,-19.078,-17.278,-22.812,-42.968,-44.64,-63.905,,2,56,,=,2.51,5.600,1.176,15.128,-64.872,8,-59.172,18,18,6.677,12.616,,5.09,-6.466,-30.674,-34.498,-47.63,-59.172,
263,49641727,18593643,CC1=CC(=CC=C1)C2=NC3=CC=CC=C3C(=N2)NCCCN(C)C.Cl,Active,50,,,=,9.69,5.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,13.8,4.860,1.2,-1.122,-100,8,-60.161,18,18,-6.704,-1.731,,-0.817,-3.584,-12.316,-18.572,-38.465,-60.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,5.57,5.254,1.017,-6.019,-100,8,-77.824,18,18,-4.424,-13.9,,-18.316,-19.437,-31.705,-50.851,-63.964,-77.824,
264,89856076,232797,C1CCN(CC1)CCCOC2=C(C=CC(=C2)N)C#N.OP(=O)(O)O,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-10.9135,-10.9135,8,-21.763,18,18,-7.869,-7.401,,-6.793,-11.757,-10.794,-11.897,-9.033,-21.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,8,-49.307,1.2,18,-18.873,-20.632,,-39.217,-49.307,-38.028,-31.435,-28.767,-38.852,
265,17515469,12006044,CN(C)CCCN(C1=NC2=C(C=CC=C2S1)OC)C(=O)C3=C(C4=CC=CC=C4S3)Cl.Cl,Active,52,,,=,6.13,5.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.28,5.138,1.059,11.371,-100,8,-69.137,18,18,5.277,8.675,,11.248,-6.228,-14.903,-32.195,-49.23,-69.137,,2,52,,=,5.94,5.226,1.12,3.304,-100,8,-79.088,18,18,8.752,-5.508,,-4.506,-15.878,-21.687,-37.797,-60.721,-79.088,,2,53,,=,5.18,5.286,1.2,6.634,-100,8,-87.969,18,18,3.878,1.839,,-1.452,-8.722,-13.101,-38.85,-72.186,-87.969,,,,,,,,,,,,,,,,,,,,,,,,
266,47195605,6446974,CN(C)CC/C=C/1\C2=CC=CC=C2SC3=CC(=C(C=C31)Cl)F.Cl,Active,48,,,=,15.15,4.820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,22.2,4.654,0.8,6.553,-100,8,-39.286,18,18,1.775,4.964,,3.312,-7.268,-1.775,-18.411,-33.216,-39.286,,2,49,,=,11.89,4.925,1.172,15,-100,7,-55.123,18,18,,19.412,,14.109,0.707,7.845,-17.159,-33.243,-55.123,,2,50,,=,10.31,4.987,1.2,11.803,-100,8,-67.742,18,18,1.634,12.045,,9.49,4.537,7.593,-17.54,-41.496,-67.742,,2,48,,=,16.2,4.790,1.2,-6.088,-100,8,-57.13,18,18,-7.761,-5.965,,-12.9,-9.561,-9.058,-18.711,-40.225,-57.13,
267,85201049,44202134,CC[C@@H](C)C(C1=CN(N=N1)[C@@H](CC(=O)N)C(=O)N2CCN(CC2)C3=NC(=NC(=N3)N4CCN(CC4)C(=O)[C@H](CCCCN)N5C=C(N=N5)CN)NCCOCCOCCOCC#C)N,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,31.9,4.496,0.8,3.624,-100,8,-30.598,9,18,5.897,-0.424,,-4.851,0.333,-3.915,-20.315,-30.598,-30.263,,1,0,,>,36,4.444,1.055,15,-100,8,-17.213,18,18,24.965,22.784,,16.424,24.245,19.252,-7.286,-9.652,-17.213,,2,46,,=,23.51,4.629,1.048,-1.098,-100,8,-43.637,18,18,5.49,-5.65,,-5.325,-10.392,-7.219,-12.6,-29.52,-43.637,,2,45,,=,29.96,4.523,0.8,10.64,-100,8,-30.39,4.6,18,16.849,9.136,,4.994,8.75,-8.177,-30.39,-15.545,-25.033,
268,103163382,5866580,CCN1CCCC1CNC(=O)C2=CC3=C(C=C2)S/C(=C/C4=CC=CC=C4F)/C(=O)N3,Active,52,,,=,6.33,5.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.63,5.064,1.2,14.108,-100,8,-72.561,18,18,12.69,6.922,,10.69,7.195,-1.657,-18.66,-45.558,-72.561,,2,51,,=,7.23,5.141,1.2,-9.791,-100,8,-90.331,18,18,-13.051,-11.108,,-14.92,-19.771,-20.286,-44.541,-54.414,-90.331,,2,54,,=,4.08,5.389,1.2,15,-100,8,-91.725,18,18,11.777,9.699,,10.958,-9.485,-24.884,-41.576,-68.467,-91.725,,2,53,,=,5.39,5.268,1.2,-2.172,-100,8,-84.485,18,18,-5.439,-7.335,,-3.21,-15.948,-29.115,-46.443,-64.345,-84.485,
269,14732996,3580257,CC(C1=CC=CC=C1)SC2=NN=C(S2)NC(=O)C3=CC4=CC=CC=C4OC3=O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.21582,3.21582,8,9.195,2.35,18,-1.855,1.93,,8.556,0.782,9.195,0.431,4.296,2.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,11.4579,11.4579,8,20.739,0.6,18,5.143,6.759,,20.739,14.72,6.982,6.51,20.106,10.705,
270,7964801,6603593,CC1(CC2=CC(=C3C(=C2C(=O)C1)C4=CC=CC=C4N3)N5CCN(CC5)C)C.Cl,Active,50,,,=,9.48,5.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,12.69,4.897,1.2,2.991,-100,8,-65.157,18,18,1.836,-0.038,,1.08,-4.691,-3.076,-20.361,-33.891,-65.157,,2,53,,=,5.21,5.283,1.182,-5.053,-100,7,-81.592,18,18,-5.868,-9.09,,-12.238,,-28.189,-53.495,-65.737,-81.592,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.54,4.977,0.8,16.085,-100,8,-52.901,18,18,13.369,9.294,,7.142,-3.097,-12.861,-21.687,-39.532,-52.901,
271,17403305,711946,CCC1=CC2=C(C=C1)N=C3C(=C2N)C(=CC(=N3)C)C,Active,55,,,=,3.58,5.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,4.43,5.354,1.2,4.783,-100,8,-83.968,18,18,-1.083,8.029,,-6.849,-14.672,-22.882,-49.162,-72.807,-83.968,,2,57,,=,2.12,5.674,0.947,0.308,-100,7,-82.872,18,18,-12.666,-6.01,,-23.18,,-52.732,-70.892,-80.147,-82.872,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,4.2,5.377,0.8,12.51,-100,8,-66.968,18,18,6.972,1.934,,-12.957,-18.118,-25.395,-50.572,-62.763,-66.968,
272,49649688,23603948,CCN(CC)CCNC(=O)CCC1=C(C2=C(N=C1C)N(N=C2C)C3=CC(=C(C=C3)C)C)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,36,4.444,1.2,0.806,-100,8,-30.503,18,18,-7.9,,4.361,-2.43,0.485,2.313,-3.898,-15.649,-30.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,24820869,16195174,C1CCCN(CC1)C2=CC=C(C=C2)NC(=O)CNC3CCCC3.C(=O)(C(=O)O)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.64877,2.64877,8,6.955,1.2,18,4.904,4.785,,6.952,6.955,1.556,-0.662,3.228,-6.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,85201068,44202153,CC[C@@H](C)[C@@H](C1=CN(N=N1)[C@@H](CCCCN)C(=O)N2CCN(CC2)C3=NC(=NC(=N3)NCCOCCOCCOCC#C)N4CCN(CC4)C(=O)[C@H](CCCN=C(N)N)N5C=C(N=N5)C([C@@H](C)CC)N)N,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,9.2,5.036,0.8,-2.914,-100,6,-27.705,2.35,4.6,0.499,-6.29,,-13.562,-20.632,-27.705,-26.074,,,,1,0,,,,,,11.9529,11.9529,8,62.099,18,18,11.865,7.367,,8.372,12.676,-5.015,-4.765,3.024,62.099,,1,0,,,,,,-4.1607,-4.1607,8,73.144,18,18,-15.574,-13.687,,-10.535,-18.164,-23.495,-18.563,-6.411,73.144,,1,0,,,,,,-19.0796,-19.0796,8,-34.962,2.35,18,-13.112,-12.359,,-4.972,-33.208,-34.962,-18.352,-17.744,-17.927,
275,49679736,24762072,CC1=C(C=C(C=C1)NC2=NC3=CC(=C(C=C3C(=N2)N)OC)OC)Cl.Cl,Active,50,,,=,9.23,5.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.23,5.035,1.101,3.621,-100,8,-68.756,18,18,5.232,2.922,,-4.314,-8.479,-17.173,-25.311,-46.582,-68.756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,17512274,12005609,CCCCCCCOC(=O)C[N+](C)(C)CCOC1CC2CCC1(C2(C)C)C.[Br-],Active,45,,,=,29.22,4.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,34.82,4.458,0.8,1.057,-100,8,-32.915,18,18,6.399,-1.913,,-5.572,0.003,-14.638,-25.708,-21.227,-32.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,23.61,4.627,0.8,1.258,-100,8,-38.283,9,18,0.596,1.052,,2.004,-15.535,-8.89,-29.554,-38.283,-32.01,
277,24819166,1478842,CN1C(=NNC1=S)C2=CSC(=N2)C3=CC(=CC=C3)C(F)(F)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-3.31048,-3.31048,7,-14.531,0.15,18,-14.531,,-6.994,-6.097,7.411,-2.918,-0.173,,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-6.4598,-6.4598,8,-10.524,1.2,18,-5.652,,-9.881,-7.307,-10.524,-8.791,0.986,-0.865,-9.644,
278,85201054,44202139,CC(C)[C@@H](C1=CN(N=N1)[C@@H](CO)C(=O)N2CCN(CC2)C3=NC(=NC(=N3)N4CCN(CC4)C(=O)[C@H](CCCCN)N5C=C(N=N5)CN)NCCOCCOCCOCC#C)N,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,36,4.444,0.8,14.829,-100,8,-12.946,18,18,17.454,12.504,,12.892,15.909,-1.56,-4.655,-7.366,-12.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,85201055,44202140,CC[C@@H](C)[C@@H](C1=CN(N=N1)[C@@H](CCCCN)C(=O)N2CCN(CC2)C3=NC(=NC(=N3)N4CCN(CC4)C(=O)[C@H](CCCCN)N5C=C(N=N5)CN)NCCOCCOCCOCC#C)N,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.02,5.520,0.8,9.035,-100,8,-83.486,18,18,1.027,-2.413,,-17.662,-31.803,-38.463,-50.301,-64.737,-83.486,,3,0,,,,,,,,6,-80.811,18,18,-59.303,-74.602,,-62.176,-69.86,-71.145,,,-80.811,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.78,5.423,0.826,0,-100,8,-77.912,18,18,0.796,-2.45,,-25.337,-29.01,-42.651,-55.611,-62.705,-77.912,
280,49667744,16020383,CCCN(CCC)CCCNC(=O)C1=CC2=C(S1)N(N=C2C3=CC(=C(C=C3)OC)OC)C,Active,55,,,=,3.41,5.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.51,5.455,1.2,-9.261,-100,8,-96.007,18,18,-15.978,-9.86,,-13.428,-32.446,-45.627,-55.203,-80.585,-96.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.31,5.480,1.2,-16.665,-100,8,-98.203,18,18,-15.314,-24.525,,-21.744,-44.82,-39.894,-69.012,-79.28,-98.203,
