PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Qualifier,IC50,Std.Err(IC50),nH,Excluded_Points_first_point,% Activity at 80 uM_first_point,% Activity at 40 uM_first_point,% Activity at 20 uM_first_point,% Activity at 10 uM_first_point,% Activity at 5 uM_first_point,% Activity at 2.5 uM_first_point,% Activity at 1.25 uM_first_point,% Activity at 0.625 uM_first_point,% Activity at 0.3125 uM_first_point,% Activity at 0.15625 uM_first_point,Excluded_Points_second_point,% Activity at 80 uM_second_point,% Activity at 40 uM_second_point,% Activity at 20 uM_second_point,% Activity at 10 uM_second_point,% Activity at 5 uM_second_point,% Activity at 2.5 uM_second_point,% Activity at 1.25 uM_second_point,% Activity at 0.625 uM_second_point,% Activity at 0.3125 uM_second_point,% Activity at 0.15625 uM_second_point
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"This qualifier is to be used with the next TID, IC50. If the qualifier is =, the IC50 result equals the value in that column. If the qualifier is >, the IC50 result is greater than that value. If the qualifier is <, the IC50 result is smaller than that value",IC50 value determined using a sigmoidal dose response equation,Standard Error of the IC50 value,Hill coefficient determined using sigmoidal dose response equation,Flags to indicate which of the first dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,Flags to indicate which of the second dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
259,87345934,665449,CC(C)(C)OC(=O)NCCC1=NN=C(O1)S(=O)(=O)CC2=C(C=C(C=C2)Cl)Cl,Active,56,,,=,6.42,0.471,1.304,"0,0,0,0,0,0,0,0,0,0",89.5679,89.725,86.0878,63.629,42.7465,23.1756,9.54758,0.377523,-7.707,-5.88044,"0,0,0,0,0,0,0,0,0,0",88.7548,86.12,85.1784,69.4372,35.6294,20.4624,14.3745,16.3538,1.30019,-6.29073
260,14730128,899008,CC1=NC2=C(C(=CS2)C3=CC=C(C=C3)Cl)C(=O)O1,Active,46,,,=,2.91,1.48,0.248,"0,0,0,0,0,0,0,0,0,0",70.5793,66.2639,57.2767,49.6056,36.8781,74.1354,60.3892,48.7889,28.9094,15.4461,"0,0,0,0,0,0,0,0,0,0",68.1593,64.3792,59.7492,47.331,38.6346,73.9237,62.686,44.519,32.1316,18.2217
261,14720805,3093171,C1CN(N=C1C2=CC=C(C=C2)Cl)C3=CC=C(C=C3)S(=O)(=O)N(CCO)CCO,Active,63,,,=,0.469,0.039,0.852,"0,0,0,0,0,0,0,0,0,0",94.2513,94.4724,93.5713,91.9764,85.8816,85.5691,70.3866,64.9916,33.6837,19.5247,"0,0,0,0,0,0,0,0,0,0",94.0602,94.921,93.4796,90.7036,86.8155,81.5042,72.8475,51.0243,44.7475,34.4762
262,17415784,2963236,CCCC(C)C1=NN=C(S1)NC(=O)C2=CC(=CC(=C2)[N+](=O)[O-])C(=O)OC,Active,54,,,=,7.04,1.17,0.658,"0,0,0,0,0,0,0,0,0,0",86.0054,73.0715,69.0449,44.5209,47.6102,17.9685,37.71,32.3897,8.05119,2.05163,"0,0,0,0,0,0,0,0,0,0",85.7992,80.0436,62.6414,64.3028,37.8723,41.05,28.2899,-1.23591,12.3932,13.2541
263,17413573,1250504,CC1=CC(=C(C(=C1)C)CN2C=C(N=C2)C3=CC=C(C=C3)[N+](=O)[O-])C,Active,54,,,=,12.6,0.938,0.742,"0,0,0,0,0,0,0,0,0,0",76.6761,75.6423,58.3458,46.7723,33.2292,26.9957,17.1911,6.3965,-7.05475,2.71476,"0,0,0,0,0,0,0,0,0,0",78.138,72.2233,56.1496,41.3772,32.0527,26.1552,15.3925,11.2757,11.2137,6.11667
264,17407276,11958533,CC(C)CCNC(=O)C1CC(=NO1)C2=CC(=CC=C2)[N+](=O)[O-],Active,52,,,=,11,1.72,0.634,"0,0,0,0,0,0,0,0,0,0",73.8809,66.0927,68.1404,46.2893,32.4676,15.6005,28.1198,22.6411,10.8453,23.0827,"0,0,0,0,0,0,0,0,0,0",73.1089,75.0196,64.8735,52.5574,32.8112,27.5791,24.4782,-0.527877,12.1317,-3.02143
265,17388393,9606368,CCN(CC)C(=O)C1CCCN(C1)C2=C(C=C(C=C2)[N+](=O)[O-])/C=N/NC(=O)C3=CC(=CC=C3)O,Active,58,,,=,1.57,0.056,0.718,"0,0,0,0,0,0,0,0,0,0",90.6721,91.5538,87.777,81.7135,72.8898,57.485,44.9566,32.2238,23.4559,17.4773,"0,0,0,0,0,0,0,0,0,0",90.9717,91.1534,88.0481,80.0376,66.8437,56.8425,46.243,32.7884,25.4791,17.6326
266,17402162,1479099,C1=CC=C(C=C1)C2=CN(C(=O)C(=C2)C#N)CC3=C(C=CC=C3Cl)Cl,Active,50,,,=,8.23,1.22,0.484,"0,0,0,0,0,0,0,0,0,0",63.4146,67.7559,64.8033,58.1041,48.6806,36.9464,32.7562,18.6972,18.1915,14.661,"0,0,0,0,0,0,0,0,0,0",70.1954,61.9299,64.0714,54.3626,54.3587,33.4765,31.7291,12.4495,2.78825,12.007
267,22406228,2102354,CCN1C(=NN=C1SCC(=O)NC2=C(C=C(C=N2)C(F)(F)F)Cl)C3=CC=CC=C3,Active,55,,,=,4.08,0.258,0.7,"0,0,0,0,0,0,0,0,0,0",91.3379,85.699,78.072,56.8595,51.8021,41.3451,28.1411,20.0252,12.9811,13.561,"0,0,0,0,0,0,0,0,0,0",90.8282,86.7611,77.6078,67.4853,49.6648,39.1171,30.0292,28.043,18.4936,10.0661
268,17503781,135430201,C1=CC=C(C=C1)C(=O)N/C(=C/C2=CC=CS2)/C(=O)N/N=C/C3=C(C(=CC(=C3)[N+](=O)[O-])[N+](=O)[O-])O,Active,57,,,=,4.89,0.317,0.9,"0,0,0,0,0,0,0,0,0,0",93.9369,90.241,76.1631,59.9496,53.7054,37.8669,22.8226,7.37356,9.38971,-0.545788,"0,0,0,0,0,0,0,0,0,0",94.5388,88.0985,74.7256,67.6165,51.0794,30.1374,30.514,12.6515,4.21255,12.7349
269,17516161,5172057,C1CCC(CC1)NC(=O)COC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])NCC3=CC=CC=C3,Active,56,,,=,1.64,0.21,0.643,"1,1,1,1,0,0,0,0,0,0",,,,,56.7221,60.2005,50.2328,37.1011,27.1366,19.6278,"1,1,1,1,0,0,0,0,0,0",,,,,65.4271,59.1829,47.9211,40.1682,20.5453,6.96978
270,17509634,3689411,C1=CC=C(C=C1)CCNC(=O)C(C2=CC=CS2)N(C3=CC=C(C=C3)Cl)C(=O)CCl,Active,56,,,=,10.3,0.921,0.906,"0,0,0,0,0,0,0,0,0,0",88.5533,84.4045,62.0754,47.8051,37.634,19.5438,8.05997,23.3949,4.01787,1.20033,"0,0,0,0,0,0,0,0,0,0",89.2152,76.5302,63.4858,42.9777,35.3397,22.2749,10.5992,2.73758,5.3684,14.9108
271,22403997,2280198,CC(C)(C)SCCNC(=O)C1=CC(=C(C=C1)Cl)[N+](=O)[O-],Active,54,,,=,5.65,0.599,0.66,"0,0,0,0,0,0,0,0,0,0",92.5201,79.7523,73.3061,54.4898,45.7404,36.2259,27.2896,24.1234,16.9176,25.4245,"0,0,0,0,0,0,0,0,0,0",88.0006,82.0692,72.1871,53.1202,44.4354,36.286,21.3269,12.2398,18.0455,8.11392
272,17504109,929341,C1=CC=C(C=C1)C2=NC(=NC(=C2)C#N)OC3=CC=C(C=C3)Cl,Active,54,,,=,9.1,1.04,0.723,"0,0,0,0,0,0,0,0,0,0",91.0668,73.033,60.9976,40.9291,36.6241,22.1479,17.6276,5.99804,8.53307,14.5176,"0,0,0,0,0,0,0,0,0,0",87.0356,80.1316,68.1692,50.8985,32.277,35.8989,25.5341,21.725,8.39544,14.1001
273,17506447,2839876,C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)C3=CSC(=N3)NC4=CC=C(C=C4)F.Br,Active,48,,,=,15.2,3.94,0.405,"0,0,0,0,0,0,0,0,0,0",57.2632,52.7666,51.2266,60.6193,48.0519,31.9327,33.2358,5.96933,6.37154,-1.46519,"0,0,0,0,0,0,0,0,0,0",57.7616,59.9016,51.6526,55.7575,41.4521,36.7092,33.5609,12.8509,20.8546,19.647
274,22401667,4983475,COC(=O)C1=CC(=CC(=C1)C(=O)NC2=NN=C(S2)C3CC3)[N+](=O)[O-],Active,55,,,=,13.8,1.21,0.938,"0,0,0,0,0,0,0,0,0,0",81.5622,75.3719,56.5172,52.199,21.6455,27.1537,10.9979,-4.07381,1.11851,8.42191,"0,0,0,0,0,0,0,0,0,0",84.3239,70.9978,60.6887,35.3784,30.857,12.2269,5.59663,8.29741,6.3585,-7.01445
275,17413981,2950277,CCCOC1=CC=C(C=C1)NC(=O)CC2C(=O)N(C(=S)N2CC3=CC=CS3)C,Active,56,,,=,7.42,1.11,0.861,"0,0,0,0,0,0,0,0,0,0",92.4641,83.5607,78.7482,58.7388,31.8084,11.7413,14.1573,10.078,30.0193,22.9001,"0,0,0,0,0,0,0,0,0,0",91.885,82.0703,70.6539,54.787,41.6268,24.7845,21.9423,11.5723,17.6865,8.82421
276,24829659,2364024,C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)OCC(=O)NCC2=CC=CS2,Active,52,,,=,18.7,1.21,1.51,"0,0,0,0,0,0,0,0,0,0",86.0593,74.2892,58.3244,28.8744,8.08181,2.45191,0.610939,-7.37757,-5.88329,-10.5589,"0,0,0,0,0,0,0,0,0,0",84.0468,75.5188,52.2969,32.6702,6.17192,4.49001,-2.31071,-2.60269,-10.6096,-4.15041
277,24837459,2436526,C1CCC(CC1)C(=O)OCC(=O)NC2=C(C=CC(=C2)[N+](=O)[O-])F,Active,56,,,=,8.3,0.95,0.983,"0,0,0,0,0,0,0,0,0,0",92.5391,86.6989,69.8064,56.4284,35.0941,22.8775,25.194,-0.607038,14.5715,-8.48182,"0,0,0,0,0,0,0,0,0,0",90.566,80.6739,73.4445,47.941,42.0179,14.6679,8.18945,24.3939,-4.95743,11.362
278,24823094,5921942,COC1=CC=C(C=C1)/C=C(\C(=O)NCC=C)/NC(=O)C2=CC=C(C=C2)[N+](=O)[O-],Active,57,,,=,2.21,0.261,0.743,"0,0,0,0,0,0,0,0,0,0",95.4797,91.9258,86.9407,72.3032,66.9875,47.8509,40.3011,18.3917,18.2467,-1.77241,"0,0,0,0,0,0,0,0,0,0",92.9414,92.0333,81.7523,74.5808,56.4419,53.0642,52.8395,38.148,13.9106,23.979
279,24796130,5737524,C1COCCN1C(=O)/C(=C\C=C/C2=CC=CC=C2)/NC(=O)C3=CC=C(C=C3)Br,Active,56,,,=,7.63,0.797,0.876,"0,0,0,0,0,0,0,0,0,0",92.8526,80.4439,68.4095,50.6864,38.8037,23.4557,14.6302,1.44217,3.60425,-2.21556,"0,0,0,0,0,0,0,0,0,0",91.7928,86.0042,66.3118,61.3451,30.1254,41.6807,25.7577,17.8346,1.87231,12.0082
280,26664548,235292,CC(C)(C)C1=CC=C(C=C1)OCC2=NC3=C(N2)C(=O)N(C(=O)N3C)C,Active,55,,,=,6.26,0.747,0.737,"0,0,0,0,0,0,0,0,0,0",78.6504,77.7238,73.1419,64.9925,45.406,43.6434,20.9107,18.3139,11.9151,-1.71874,"0,0,0,0,0,0,0,0,0,0",68.4233,79.9895,74.1916,63.1339,47.0639,29.289,25.164,5.9783,1.52793,2.15661
281,26665742,3706142,CC(CC1=CC=CC=C1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])Cl,Active,55,,,=,5.85,0.507,0.746,"0,0,0,0,0,0,0,0,0,0",84.5914,81.3702,74.9389,55.8943,40.579,41.8986,29.6579,16.8915,12.4651,12.0335,"0,0,0,0,0,0,0,0,0,0",85.4781,80.8425,78.4437,57.8011,48.7143,32.2272,22.274,7.48742,1.36045,13.3026
282,26732682,16746628,CC(C)(C)OC(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)C1=C(N=CN1)C(=O)NC2=CC=CC=C2,Active,58,,,=,3.01,0.225,0.84,"0,0,0,0,0,0,0,0,0,0",92.0932,92.5118,84.9794,72.1415,61.2522,45.1695,31.0613,16.909,15.8213,18.0786,"0,0,0,0,0,0,0,0,0,0",88.5601,91.2403,84.2856,74.8115,59.6857,51.8252,28.8097,10.2923,16.8988,13.515
283,46500422,23681233,CCCCCN(CCCCC)C(=O)C(CCC(=O)[O-])NC(=O)C1=CC(=C(C=C1)Cl)Cl.[Na+],Active,57,,,=,5.31,0.561,0.864,"0,0,0,0,0,0,0,0,0,0",90.3745,83.8055,73.6308,59.1472,38.8256,28.8795,17.9932,19.938,-0.254895,12.0482,"0,0,0,0,0,0,0,0,0,0",89.7414,87.7473,78.6089,67.0533,52.5186,48.4583,28.5509,3.33191,12.2278,-4.20448
