PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Mean_Qualifier,IC50_Mean,IC50_Qualifier_1_Range1,IC50_1_Range1,Std.Err(IC50)_1_Range1,nH_1_Range1,Excluded_Points_first_point_Range1,% Activity at 66 uM_first_point_Range1,% Activity at 33 uM_first_point_Range1,% Activity at 16.5 uM_first_point_Range1,% Activity at 8.25 uM_first_point_Range1,% Activity at 4.125 uM_first_point_Range1,IC50_Qualifier_2_Range1,IC50_2_Range1,Std.Err(IC50)_2_Range1,nH_2_Range1,Excluded_Points_second_point_Range1,% Activity at 66 uM_second_point_Range1,% Activity at 33 uM_second_point_Range1,% Activity at 16.5 uM_second_point_Range1,% Activity at 8.25 uM_second_point_Range1,% Activity at 4.125 uM_second_point_Range1,IC50_Qualifier_1_Range2,IC50_1_Range2,Std.Err(IC50)_1_Range2,nH_1_Range2,Excluded_Points_first_point_Range2,% Activity at 66 uM_first_point_Range2,% Activity at 33 uM_first_point_Range2,% Activity at 16.5 uM_first_point_Range2,% Activity at 8.25 uM_first_point_Range2,% Activity at 4.125 uM_first_point_Range2,% Activity at 2.0625 uM_first_point_Range2,% Activity at 1.03125 uM_first_point_Range2,% Activity at 0.515625 uM_first_point_Range2,% Activity at 0.2578125 uM_first_point_Range2,% Activity at 0.1289062 uM_first_point_Range2
59,24839480,3241567,CCOC1=C(C=C(C=C1)CN2C3=C(N=C2SCCCCC#N)N(C(=O)N(C3=O)C)C)OCC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.44187,5.57197,2.96225,3.28847,7.0943,>,66,,,"0,0,0,0,0",10.1506,12.8323,7.57204,10.6663,10.8726,,,,,,,,,,,,,,,
60,81066077,4932050,CC(C(=O)NC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)C)OC3=CC=CC=C3Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",12.7487,11.8788,11.9875,4.91954,3.72341,>,66,,,"0,0,0,0,0",17.5768,20.9805,14.9983,16.236,15.2045,,,,,,,,,,,,,,,
61,47204120,2985157,CSC1=NSC(=N1)SCC(=O)NCC2=CC=CC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",1.76613,4.15837,6.76809,4.91954,8.61663,>,66,,,"0,0,0,0,0",3.75579,7.77834,10.2537,9.63487,2.93066,,,,,,,,,,,,,,,
62,22412222,838682,CC1=CC(=CC=C1)NC(=O)NC(=S)NC(=O)C2=CC=CC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.74673,7.0943,2.5273,10.3565,6.33313,>,66,,,"0,0,0,0,0",8.39718,7.46891,11.182,5.92178,16.5454,,,,,,,,,,,,,,,
63,85199999,2348442,CC1=CC=CC=C1NC(=O)CSC(=O)C2=CC=CC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-3.4533,1.43991,-0.734849,6.22439,7.9642,>,66,,,"0,0,0,0,0",-3.87669,3.65266,8.29404,6.02491,13.1417,,,,,,,,,,,,,,,
64,57262200,2422652,C1CCN(C1)C(=S)NC(=O)C2=CC=CC=C2F,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.28847,8.83411,8.72537,6.11566,8.61663,>,66,,,"0,0,0,0,0",11.3883,12.3166,11.2851,11.182,12.9354,,,,,,,,,,,,,,,
65,57261457,4773828,CC1=C(N2C(C(C2=O)NC(=O)C3=CC=C(C=C3)F)SC1)C(=O)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",2.20109,6.87682,6.65935,7.31178,4.70206,>,66,,,"0,0,0,0,0",10.6663,5.19979,3.34323,12.626,14.5857,,,,,,,,,,,,,,,
66,85198820,4825642,CC1=CC=CC=C1C2=NC(=C(O2)N3CCCC3)S(=O)(=O)C4=CC=CC=C4,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.3972,3.28847,2.5273,4.04963,-0.0824,>,66,,,"0,0,0,0,0",8.19089,5.7155,9.11917,5.30292,8.50032,,,,,,,,,,,,,,,
67,850633,653164,C1=CC=C(C=C1)CN2C(=O)C(SC2=O)N(CC(=O)N)C3=CC=CC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.98556,5.6807,5.13701,3.50594,2.85351,>,66,,,"0,0,0,0,0",9.11917,8.19089,10.3569,8.80975,3.34323,,,,,,,,,,,,,,,
68,49670363,684535,COC1=CC2=C(C=C1)OC(=O)C(=C2)C(=O)OCC3=CC=CC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",1.98361,4.48459,4.15837,8.50789,1.00496,>,66,,,"0,0,0,0,0",6.23121,7.67519,8.91288,10.5632,4.16837,,,,,,,,,,,,,,,
69,14720857,3109982,CC1=CC=C(C=C1)NC(=O)CC2C(=O)N(C(=O)S2)C3=CC=CC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",2.30982,6.65935,4.59332,5.6807,11.9875,>,66,,,"0,0,0,0,0",6.23121,0.248978,2.00239,3.85894,3.44637,,,,,,,,,,,,,,,
70,47198464,781522,C1=CC=C2C(=C1)C=C3C=CC=CC3=C2SCC(=O)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",9.48654,11.1176,4.91954,6.44187,2.74478,>,66,,,"0,0,0,0,0",15.3077,11.182,6.12806,12.4197,8.08775,,,,,,,,,,,,,,,
71,24822228,1486429,C1CC(=O)C(C(=O)C1)CS(=O)(=O)C2=CC=CC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",10.9001,16.772,12.8574,12.8574,7.31178,>,66,,,"0,0,0,0,0",13.7606,9.53174,12.3166,9.63487,12.3166,,,,,,,,,,,,,,,
72,93577436,4285735,CCCCOC1=CC=C(C=C1)N2C(=O)C(CNC2=S)C,Inactive,41,,,=,41.1,=,49.495,,1,"0,0,0,0,0",79.9776,60.3807,40.7837,22.7339,17.0611,=,22.217,,1,"0,0,0,0,0",55.4828,40.0419,25.471,15.9021,9.26907,=,32.183,,1.206,"0,0,0,0,0,0,0,0,0,0",95.8446,73.305,49.3635,32.4318,24.0199,16.5786,17.4414,10.9707,14.3139,15.608
73,24827569,2525970,CCC1=CC=C(C=C1)C(=S)N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.48459,11.1176,5.46323,12.205,8.61663,>,66,,,"0,0,0,0,0",0.455259,6.33434,10.6663,12.7291,12.5229,,,,,,,,,,,,,,,
74,863588,664837,COCCN1CN(C2=NC3=CC=CC=C3N=C21)S(=O)(=O)C4=CC=CC=C4,Inactive,41,,,=,55.42,>,66,,,"0,0,0,0,0",13.6186,9.3778,6.65935,2.20109,1.76613,>,66,,,"0,0,0,0,0",32.1198,24.7967,16.8548,14.792,16.5454,=,23.712,,0.841,"0,0,0,0,0,0,0,0,0,0",35.4515,26.6082,20.6767,11.0785,11.4021,-4.01973,-2.72559,5.36277,0.4019,-8.11784
75,56319924,7132262,CCOC(=O)C1CCN(CC1)C(=O)COC(=O)CSC2=CC=C(C=C2)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",2.41856,2.63603,3.72341,2.09234,0.787487,>,66,,,"0,0,0,0,0",12.0071,6.54062,5.61235,7.98461,7.88147,,,,,,,,,,,,,,,
76,49665117,2991617,CCCCN1C2=C(C=C(C=C2)F)C3=C1N=C(N=N3)SCCN4CCOCC4,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.46323,6.87682,3.28847,7.52925,9.92149,>,66,,,"0,0,0,0,0",10.0474,9.73802,13.8637,17.0611,18.2988,,,,,,,,,,,,,,,
77,24797262,6017068,CN1C=C(N=C2C1=NC(=O)N(C2=O)C3=CC=CC=C3)/C=N\O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",1.76613,-1.06106,4.15837,1.43991,2.74478,>,66,,,"0,0,0,0,0",17.0611,16.3391,14.6888,18.6082,9.42859,,,,,,,,,,,,,,,
78,4247578,3241774,CCOC(=O)CC1=C(C(C(=C(O1)N)C#N)C2=CC=C(O2)C)C(=O)OCC,Inactive,41,,,=,32,>,66,,,"0,0,0,0,0",33.7351,25.471,13.9448,8.07294,5.46323,=,28.701,,1,"0,0,0,0,0",66.3629,48.7256,38.5146,23.559,23.559,=,15.715,,1.137,"0,0,0,0,0,0,0,0,0,0",91.3151,74.5992,57.4518,35.3436,23.0493,9.24519,5.03923,4.39217,3.63725,2.23528
79,17403504,1169035,COC1=CC=CC=C1NC(=O)CC2=CSC(=N2)NC(=S)NC3=CC=CC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.91954,3.61468,5.13701,6.00692,9.16032,>,66,,,"0,0,0,0,0",13.8637,14.5857,18.1957,18.0925,16.958,,,,,,,,,,,,,,,
80,853071,655712,C1=CC=C(C=C1)NC(=O)COC(=O)CCC2=CNC(=O)N2,Inactive,41,,,=,44.9,>,66,,,"0,0,0,0,0",19.7079,7.20304,6.65935,6.44187,5.6807,=,43.795,,1,"0,0,0,0,0",56.4613,40.1649,25.5187,24.4873,18.5051,=,36.752,,1.252,"0,0,0,0,0,0,0,0,0,0",65.3245,43.6477,25.2062,8.49027,6.44122,-1.86283,-2.29422,-4.99034,-2.94128,0.294065
81,864471,665717,CC(C)OCCCNC(=O)C1=C(N(C(=S)S1)C)N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.91954,5.89818,9.59528,7.0943,7.63799,>,66,,,"0,0,0,0,0",13.5543,16.236,18.9176,16.6485,17.7831,,,,,,,,,,,,,,,
82,22402212,135521521,CC1=C[N+](=CC=C1)C2=C(SC(=O)N2)/C=N/NC(=O)C3=CC=CC=C3[O-],Inactive,41,,,=,43.9,=,57.543,,1,"0,0,0,0,0",74.6142,55.533,43.156,25.9313,25.8282,=,22.003,,1,"0,0,0,0,0",51.7857,35.6924,23.1875,14.271,10.4652,>,66,,,"0,0,0,0,0,0,0,0,0,0",85.0601,62.4127,39.5496,-15.2356,12.8041,12.0491,6.65691,7.19613,11.7256,16.2551
83,848842,6603357,C1CCN(C1)CCN2C3=CC=CC=C3N(C2=N)CC(C4=CC=CO4)O.Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.37585,-2.80088,6.44187,-0.408631,1.43991,>,66,,,"0,0,0,0,0",22.5276,17.0611,12.626,9.11917,1.79611,,,,,,,,,,,,,,,
84,14726484,725469,CCOC(=O)C1=CN=C2C=CC(=CC2=C1NCCN(C)C)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.89818,0.461269,2.63603,7.42051,4.2671,>,66,,,"0,0,0,0,0",13.348,6.02491,13.6574,14.4825,15.1014,,,,,,,,,,,,,,,
85,24820681,5525182,CC1=C(/C(=C/N(C)C)/C(=O)N1)C(=O)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.18168,2.96225,3.28847,3.72341,3.3972,>,66,,,"0,0,0,0,0",24.6936,13.348,16.8548,15.3077,14.07,,,,,,,,,,,,,,,
86,24791270,5062450,CC1=CC=C(C=C1)S(=O)(=O)NC2=NC3=CC=CC=C3N=C2NC4=CC(=CC=C4)S(=O)(=O)N5CCCC5,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",10.2477,12.64,16.2283,22.5351,17.2069,>,66,,,"0,0,0,0,0",29.0255,25.003,25.2093,40.4743,38.102,>,66,,2.742,"0,0,0,0,0,0,0,0,0,0",23.265,28.7651,39.4417,59.9323,43.7555,30.0592,23.0493,16.4708,6.44122,13.8825
87,3716473,2396077,C1=CC=C2C(=C1)C(=NC=N2)SCC(=O)NCC3=CC=CO3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",13.6186,9.81276,9.59528,13.6186,11.3351,>,66,,,"0,0,0,0,0",13.5543,18.1957,19.8459,19.5365,23.6622,,,,,,,,,,,,,,,
88,24816744,4321221,CC1=CC2=CC=CC=C2N1CCNC(=O)C3=CC=C(O3)Br,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.22439,8.94285,5.89818,8.39916,9.48654,>,66,,,"0,0,0,0,0",22.3213,20.0522,21.2899,14.8951,18.4019,,,,,,,,,,,,,,,
89,85199810,2464907,C1=CC=C2C(=C1)C(=O)N(S2(=O)=O)CC(=O)NC3=C(C=C(C=N3)Cl)Cl,Inactive,41,,,=,27.32,>,66,,,"0,0,0,0,0",3.50594,48.306,29.8206,20.2516,15.7934,=,10.12,,1,"0,0,0,0,0",81.9373,71.2105,59.5555,47.5911,35.8329,=,16.974,,1.339,"0,0,0,0,0,0,0,0,0,0",71.6874,58.9617,43.432,34.4809,14.3139,11.2942,16.2551,8.27458,14.5296,6.44122
90,24835986,2345574,CCOC1=CC=C(C=C1)NC(=S)N=NC2=C(NC3=CC=CC=C32)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.07294,9.59528,12.3137,10.9001,6.22439,>,66,,,"0,0,0,0,0",20.5679,20.8773,21.5993,20.7742,24.3842,,,,,,,,,,,,,,,
91,49677170,4826520,CC1=CC2=C(C=C1C)N(C=N2)C3=C(C=CC=N3)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-2.69213,-2.25718,2.96225,2.5273,8.18168,>,66,,,"0,0,0,0,0",-2.639,1.48668,11.182,3.85894,5.19979,,,,,,,,,,,,,,,
92,856678,1232727,CCOC(=O)CSC1=NC2=C(N1C/C=C(/C)\Cl)C(=O)NC(=O)N2C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.94089,4.81079,4.91954,10.2477,7.9642,>,66,,,"0,0,0,0,0",9.63487,14.8951,11.2851,18.4019,15.514,,,,,,,,,,,,,,,
93,22414129,15945766,CNCC1=CC=CC=C1SC2=CC(=C(C=C2)O)O.C(=C\C(=O)[O-])\C(=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",9.33923,13.493,17.7532,10.5108,6.03754,>,66,,,"0,0,0,0,0",-9.44247,-3.9604,-16.3726,-11.8215,0.590756,,,,,,,,,,,,,,,
94,26727379,2727521,CC1=CC(=C(C(=O)N1NC(=S)NC2CCCC2)C#N)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",1.6708,8.27417,2.94887,5.50501,2.62934,>,66,,,"0,0,0,0,0",-4.99475,-7.47719,-5.30506,-10.3734,-13.2696,,,,,,,,,,,,,,,
95,24793316,2906115,COC1=CC=C(C=C1)CC2=C(N=C(NC2=O)SCC(=O)NC34CC5CC(C3)CC(C5)C4)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.18549,4.12043,8.06116,2.62934,1.03175,>,66,,,"0,0,0,0,0",-8.61498,-5.82224,-1.16765,-9.8562,-10.0631,,,,,,,,,,,,,,,
96,93576770,3082,CNC(=O)CSP(=S)(OC)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.46357,7.42211,7.52863,2.84236,0.286214,>,66,,,"0,0,0,0,0",-6.54628,8.45182,-0.34017,-3.02947,-0.753904,,,,,,,,,,,,,,,
97,14741281,3745707,CCCCCCC(=O)N(C1CC(=O)N(C1=O)C2=CC=C(C=C2)C)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.12043,2.09681,5.93104,3.90742,1.45778,>,66,,,"0,0,0,0,0",4.21099,2.96975,-1.47795,1.41822,-9.44247,,,,,,,,,,,,,,,
98,93576613,20832455,CC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN(C)C.C(=C\C(=O)[O-])\C(=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-7.91475,-5.99764,-8.23427,-5.78463,0.499223,>,66,,,"0,0,0,0,0",-19.2688,-20.7169,-10.3734,-4.68444,-8.61498,,,,,,,,,,,,,,,
99,93576623,23615863,CN1CC(C2=C(C1)C(=CC=C2)N)C3=CC=CC=C3.C(=C\C(=O)[O-])\C(=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",15.1971,9.87176,2.94887,1.7773,4.22693,>,66,,,"0,0,0,0,0",30.7938,14.2442,-8.20123,-6.44284,-9.75276,>,66,,,"0,0,0,0,0,0,0,0,0,0",-0.550293,-5.6773,-10.5814,-15.7084,-0.884665,-9.35537,-13.3678,-2.66798,1.01009,-0.438846
100,17413798,1250182,C1CCC2=C(C1)C=CC(=C2)CC(=O)NC3=CC=CC=C3Br,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.22693,3.5879,-0.139812,-1.95041,4.65296,>,66,,,"0,0,0,0,0",-12.7524,-7.7875,-4.68444,-5.40848,-14.6142,,,,,,,,,,,,,,,
101,24810017,3138341,CCCCCC(=O)NNC(=S)NC(=O)C1=CC=C(C=C1)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-16.7548,-6.63668,-2.80246,-0.0333,1.7773,>,66,,,"0,0,0,0,0",-22.2684,-11.6146,-10.5802,-10.994,-0.650478,,,,,,,,,,,,,,,
102,24797953,2879220,CC1=CC(=C(C=C1)N2C(=O)CC(C2=O)SC3=CC=CC=C3C(=O)O)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",11.4694,8.48718,6.35705,1.24477,5.07899,>,66,,,"0,0,0,0,0",-7.06345,-2.71918,-4.06383,-13.1661,-2.30543,,,,,,,,,,,,,,,
103,26664702,259084,COC1=C(C=C(C=C1)C(=S)N2CCN(CC2)C3=CC=CC=C3Cl)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-2.48294,0.499223,-2.05692,-0.139812,-1.7374,>,66,,,"0,0,0,0,0",-18.855,-17.9241,-10.8905,-18.2344,-5.71879,,,,,,,,,,,,,,,
104,24787677,919421,CN1C2=C3C(=C(C=C2)C=O)C=CC=C3N(C1=O)C,Inactive,41,,,=,58.77,>,66,,,"0,0,0,0,0",13.6186,8.07294,10.4652,12.3137,2.20109,>,66,,,"0,0,0,0,0",38.6177,28.5098,27.6847,21.393,15.9265,=,37.131,,1.098,"0,0,0,0,0,0,0,0,0,0",51.089,41.5986,23.265,17.6571,15.2845,7.73535,7.84321,7.95104,2.88234,8.70597
105,22402012,135521507,C/C(=N\NC(=S)NCCOC)/C1=CC=CC=C1O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.48459,6.33313,6.65935,7.42051,6.00692,>,66,,,"0,0,0,0,0",9.53174,7.88147,13.9668,7.98461,9.84117,,,,,,,,,,,,,,,
106,17433295,2293436,CCOC(=O)C1=C(N=C(S1)NC(=S)NC(=O)C2=CC=CO2)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.18168,5.57197,5.46323,7.42051,4.81079,>,66,,,"0,0,0,0,0",12.9354,9.53174,16.1328,15.2045,16.8548,,,,,,,,,,,,,,,
107,24792858,978360,CCC1=CC=C(C=C1)C(=O)NC(=S)NC2=CC=C(C=C2)N3CCOCC3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.61468,8.83411,9.05158,8.50789,9.59528,>,66,,,"0,0,0,0,0",8.7066,16.6485,15.514,15.3077,20.3616,,,,,,,,,,,,,,,
108,17513305,6866193,CC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3N=C2SCC(=O)N/N=C/C4=C(N(N=C4C)C5=CC=CC=C5)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",13.1836,5.6807,5.78944,9.70401,12.0963,>,66,,,"0,0,0,0,0",17.1642,18.7114,16.5454,16.5454,14.9983,,,,,,,,,,,,,,,
109,26729798,2744646,CC1=CC=C(C=C1)SC(=O)C2=C(ON=C2C)C3=NOC(=C3)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",2.5273,2.74478,7.52925,8.83411,6.33313,>,66,,,"0,0,0,0,0",17.9894,16.1328,17.5768,19.1239,24.3842,,,,,,,,,,,,,,,
110,24809018,1728353,C1COCCN1CCC(=O)NNC(=S)NC(=O)C2=CC=CC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.63799,9.92149,7.42051,4.81079,10.5739,>,66,,,"0,0,0,0,0",16.958,16.0297,17.1642,19.3302,16.4422,,,,,,,,,,,,,,,
111,85302346,135412049,CCCCOC(=O)CNC1=NN=C(NC1=O)SCC(=O)OCC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",11.8788,4.15837,11.5526,12.9662,9.81276,>,66,,,"0,0,0,0,0",14.6888,10.2537,14.1731,20.9805,17.2674,,,,,,,,,,,,,,,
112,57266595,16321869,COC1=CC(=C(C=C1)OC)S(=O)(=O)N2CCN(CC2)C(=O)C3=CC(=NN3C4=CC=CC=C4)C5CC5,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.22439,5.78944,7.52925,5.24575,3.50594,>,66,,,"0,0,0,0,0",17.5768,18.1957,19.0208,13.8637,11.2851,,,,,,,,,,,,,,,
113,17504990,1603690,C1COCCN1S(=O)(=O)C2=CC3=C(C=C2)C4=C(C3=NNC(=S)N)C=C(C=C4)S(=O)(=O)N5CCOCC5,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",0.0263,6.87682,5.89818,5.89818,12.3137,>,66,,,"0,0,0,0,0",7.98461,11.5946,14.9983,13.1417,17.0611,,,,,,,,,,,,,,,
114,17503799,1829135,C1=CC=C(C=C1)C(=O)NC(=S)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.50789,6.76809,6.55061,5.6807,6.87682,>,66,,,"0,0,0,0,0",13.1417,18.0925,24.6936,15.6171,16.236,,,,,,,,,,,,,,,
115,49737112,2908637,CCC1CCCCN1C(=S)NC(=O)C2=CC(=CC=C2)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",9.92149,8.50789,4.91954,1.87487,8.18168,>,66,,,"0,0,0,0,0",14.3794,16.4422,22.115,16.4422,18.2988,,,,,,,,,,,,,,,
116,14734146,9600487,C1=CC2=NC(=C(N2C=C1)/N=C/C3=CC=C(C=C3)Cl)C4=CC=CO4,Inactive,41,,,=,59.23,>,66,,,"0,0,0,0,0",32.6478,31.4516,16.2283,11.4438,10.0302,=,38.902,,1,"0,0,0,0,0",58.0084,47.7974,27.5816,19.7428,18.9176,>,66,,1.16,"0,0,0,0,0,0,0,0,0,0",14.8531,9.35303,8.59812,6.11768,2.88234,2.5588,-4.01973,-10.2747,-4.55895,1.91174
117,4247900,6602841,CC1=CC(=NC2=C1C=C3C(=C2)C=CN3C4[C@@H]([C@H]([C@H](CO4)O)O)O)C.Cl,Inactive,41,,,=,57.6,>,66,,,"0,0,0,0,0",43.7391,22.6439,11.77,8.29042,9.48654,=,32.425,,1,"0,0,0,0,0",66.3629,46.7659,31.3978,25.2093,19.2271,>,66,,,"0,0,0,0,0,0,0,0,0,0",87.7562,58.3146,36.7456,22.1866,13.1276,5.14708,8.05889,-0.676548,-8.22569,8.8138
118,14741184,3512464,COC(=O)CSC1=C(C(=O)NC(S1)C2=CC=CC=C2)C#N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",13.7273,11.6613,8.50789,16.2283,15.2497,>,66,,,"0,0,0,0,0",20.8773,19.3302,19.4334,24.281,20.1553,,,,,,,,,,,,,,,
119,24805010,3155288,CCOC1=CC2=C(C=C1)NC(=C2[N+](=O)[O-])SCC(=O)OC,Inactive,41,,,=,41,>,66,,,"0,0,0,0,0",35.475,26.8846,24.7099,14.3798,12.4225,=,36.823,,1,"0,0,0,0,0",58.3178,44.8062,32.8418,23.6622,18.4019,=,47.837,,0.78,"0,0,0,0,0,0,0,0,0,0",52.5988,43.7555,21.4317,13.1276,9.56871,5.03923,-7.68646,-2.72559,-4.99034,-6.71585
120,7973061,873495,CC1=C(C=C(C=C1)NC(=O)CSC(=O)N)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",12.205,12.64,9.81276,11.3351,12.3137,>,66,,,"0,0,0,0,0",19.4334,20.2585,18.7114,16.7517,19.7428,,,,,,,,,,,,,,,
121,47201322,3176124,COCCCNC(=S)N(CCO)CC1=CC2=CC3=C(C=C2NC1=O)OCCO3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",9.26907,8.72537,6.98556,12.5312,12.64,>,66,,,"0,0,0,0,0",15.3077,13.0386,14.2763,17.9894,16.3391,,,,,,,,,,,,,,,
122,26726409,5713206,CC1=CC(=NC(=N1)S/C=C/C(=O)C2=CC=CC=C2F)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.70206,9.05158,2.30982,10.5739,4.2671,>,66,,,"0,0,0,0,0",23.559,26.3438,21.7025,17.6799,19.8459,,,,,,,,,,,,,,,
123,26667354,1623230,CCOP(=O)(CC1=CC(=C(O1)C)C(=O)C)OCC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.83411,5.89818,3.72341,8.72537,1.87487,>,66,,,"0,0,0,0,0",16.0297,18.6082,11.182,15.4108,14.6888,,,,,,,,,,,,,,,
124,24793545,884879,C1=CC=C(C(=C1)C(=O)NC(=S)NC2=CC=CC=C2O)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",9.26907,6.87682,4.59332,5.02828,11.3351,>,66,,,"0,0,0,0,0",10.6663,14.4825,10.6663,13.4511,12.4197,,,,,,,,,,,,,,,
125,24787803,2234059,CC(C)(C)C(=O)NC(=S)NC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",9.05158,19.1642,6.55061,13.9448,8.39916,>,66,,,"0,0,0,0,0",11.8009,12.3166,9.32546,17.0611,11.0789,,,,,,,,,,,,,,,
126,14722500,3139639,CC1=C(C(=O)N(N1)C(=S)N)N=NC2=CC=C(C=C2)S(=O)(=O)N3CCCCCC3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",12.3137,11.6613,16.4458,10.2477,13.1836,>,66,,,"0,0,0,0,0",18.6082,25.2093,21.1868,24.5905,21.393,,,,,,,,,,,,,,,
127,856608,657965,C1C=C(CS1(=O)=O)CN2C(=O)C3=CC=CC=C3C2=O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",15.2497,7.31178,10.0302,7.42051,9.81276,>,66,,,"0,0,0,0,0",16.5454,14.4825,14.6888,13.8637,22.4245,,,,,,,,,,,,,,,
128,3711891,2997805,CC(C)CN(C1CCS(=O)(=O)C1)C(=O)COC(=O)C2=CC3=C(C=C2)SCC(=O)N3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.55061,5.46323,7.0943,9.16032,3.17972,>,66,,,"0,0,0,0,0",15.8234,15.1014,15.8234,21.1868,13.0386,,,,,,,,,,,,,,,
129,17401235,4231610,CC1=C(N2C(C(C2=O)NC(=O)C3=NN(C=C3)C)SC1)C(=O)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",9.26907,7.52925,6.76809,7.31178,5.02828,>,66,,,"0,0,0,0,0",17.5768,19.1239,14.3794,22.4245,17.2674,,,,,,,,,,,,,,,
130,14731556,762708,COC1=CC2=C(C=C1)N=C(C(=N2)C3=CC=CO3)C4=CC=CO4,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-2.03281,6.05394,5.39826,8.56739,5.50754,>,66,,,"0,0,0,0,0",-27.7585,-14.2751,-3.84649,-3.42514,-1.52903,,,,,,,,,,,,,,,
